Workout_ID,Member_ID,Workout_Date,Workout_Type,Duration_Min,Calories_Burned
5106,36,2026-05-13,Cardio,63,409
5107,36,2026-06-20,HIIT,74,462
5108,36,2026-07-03,Yoga,85,515
5109,37,2026-06-16,HIIT,70,446
5110,37,2026-07-23,Yoga,81,499
5111,37,2026-08-06,Functional,36,552
5112,38,2026-07-19,Yoga,77,483
5113,38,2026-08-02,Functional,88,536
5114,38,2026-01-09,Strength,43,589
5115,39,2026-08-22,Functional,84,520
5116,39,2026-01-05,Strength,39,573
5117,39,2026-02-12,Cardio,50,245
5118,40,2026-01-01,Strength,35,557
5119,40,2026-02-08,Cardio,46,229
5120,40,2026-03-15,HIIT,57,282
5121,41,2026-02-04,Cardio,42,594
5122,41,2026-03-11,HIIT,53,266
5123,41,2026-04-18,Yoga,64,319
5124,42,2026-03-07,HIIT,49,250
5125,42,2026-04-14,Yoga,60,303
5126,42,2026-05-21,Functional,71,356
5127,43,2026-04-10,Yoga,56,287
5128,43,2026-05-17,Functional,67,340
5129,43,2026-06-24,Strength,78,393
5130,44,2026-05-13,Functional,63,324
5131,44,2026-06-20,Strength,74,377
5132,44,2026-07-03,Cardio,85,430
5133,45,2026-06-16,Strength,70,361
5134,45,2026-07-23,Cardio,81,414
5135,45,2026-08-06,HIIT,36,467
5136,46,2026-07-19,Cardio,77,398
5137,46,2026-08-02,HIIT,88,451
5138,46,2026-01-09,Yoga,43,504
5139,47,2026-08-22,HIIT,84,435
5140,47,2026-01-05,Yoga,39,488
5141,47,2026-02-12,Functional,50,541
5142,48,2026-01-01,Yoga,35,472
5143,48,2026-02-08,Functional,46,525
5144,48,2026-03-15,Strength,57,578
5145,49,2026-02-04,Functional,42,509
5146,49,2026-03-11,Strength,53,562
5147,49,2026-04-18,Cardio,64,234
5148,50,2026-03-07,Strength,49,546
5149,50,2026-04-14,Cardio,60,599
5150,50,2026-05-21,HIIT,71,271
